STATIC_ECC_A,DYNAMIC_ECC,X,Y,L1,L2,U1,U2,TORQUE_RIPPLE,CURRENT_SPECTRUM,L1_U1_RATIO,L_diff,U_diff,L_ratio,U_ratio,Power_like,Combined_spectrum
0.0,0.2,47.7,47.5,-71.473,-57.8902,-35.2757,-72.2061,0.6,4.344,2.026125633,-13.582799999999999,36.930400000000006,1.2346304078173922,0.4885418335645026,2521.2601061,2.6064000000000003
0.005,0.1,47.7,47.6,-61.723,-62.571,-63.169,-40.8005,0.32,4.155,0.977109025,0.847999999999999,-22.368499999999997,0.9864474115236677,1.5482408683285955,3898.9801869999997,1.3296000000000001
0.01,0.1,47.7,47.6,-56.005,-62.444,-58.147,-40.797,0.33,4.155,0.96316233,6.439,-17.35,0.8968836220755176,1.4252764032962326,3256.522735,1.37115
0.015,0.1,47.7,47.6,-52.586,-62.319,-54.976,-40.794,0.34,4.155,0.9565264843,9.733000000000004,-14.182000000000002,0.8438197153969048,1.3476491971282345,2890.967936,1.4127000000000003
0.02,0.1,47.7,47.6,-50.139,-62.195,-52.655,-40.792,0.35,4.155,0.9522172633,12.055999999999997,-11.863,0.8061580642520791,1.2908168584726627,2640.069045,1.45425
0.025,0.1,47.7,47.6,-48.232,-62.074,-50.825,-40.789,0.36,4.155,0.9489818003,13.841999999999999,-10.036000000000001,0.7770080996392709,1.2460467588331843,2451.3914,1.4958
0.03,0.1,47.7,47.6,-46.669,-61.954,-49.314,-40.786,0.37,4.155,0.9463641157,15.285000000000004,-8.527999999999999,0.7532847072551361,1.2090913845214382,2301.435066,1.53735
0.035,0.1,47.7,47.6,-45.344,-61.896,-48.027,-40.783,0.38,4.16,0.9441355904,16.552,-7.244,0.732583700603976,1.1776230580786862,2177.736288,1.5808
0.04,0.1,47.7,47.6,-44.196,-61.719,-46.906,-40.781,0.39,4.16,0.9422248753,17.523000000000003,-6.125,0.7160841996157454,1.1501925198056084,2073.0575759999997,1.6224
0.045,0.1,47.7,47.6,-43.181,-61.604,-45.913,-40.778,0.4,4.16,0.9404961558,18.423000000000002,-5.134999999999998,0.7009447552260365,1.1259257718849813,1982.5692529999997,1.6640000000000001
0.05,0.1,47.7,47.6,-42.2733,-61.491,-45.022,-40.775,0.42,4.16,0.9389476256,19.2177,-4.247,0.6874713484489006,1.1041569860001712,1903.2285126,1.7472
0.055,0.1,47.7,47.6,-41.451,-61.379,-44.214,-40.772,0.43,4.16,0.9375084815,19.927999999999997,-3.442,0.6753287064847702,1.0844207074566052,1832.714514,1.7888
0.06,0.1,47.7,47.6,-40.699,-61.2686,-43.475,-40.769,0.44,4.165,0.936147211,20.5696,-2.706000000000003,0.6642717585234811,1.0663739867638153,1769.389025,1.8326
0.065,0.1,47.7,47.6,-40.008,-61.159,-42.741,-40.766,0.45,4.165,0.9360567137,21.150999999999996,-1.9750000000000014,0.6541637478402811,1.048447261159968,1709.9819280000002,1.87425
0.07,0.1,47.7,47.6,-39.3681,-61.051,-42.162,-40.764,0.46,4.167,0.9337341682,21.682900000000004,-1.3979999999999961,0.6448395709298712,1.034294991519355,1659.8378321999999,1.91682
0.075,0.1,47.7,47.6,-38.771,-60.945,-41.573,-40.761,0.47,4.169,0.9326004859,22.174,-0.8119999999999976,0.6361637646429364,1.0199210279414397,1611.826783,1.9594299999999998
0.08,0.1,47.7,47.6,-38.2136,-60.84,-41.0219,-40.758,0.49,4.171,0.9315414449,22.626400000000004,-0.2638999999999996,0.6280999445775796,1.006474827186683,1567.59447784,2.04379
0.085,0.1,47.7,47.6,-37.689,-60.737,-40.5033,-40.755,0.5,4.173,0.9305167727,23.048000000000002,0.2516999999999996,0.6205278597976169,0.9938240950515052,1526.5288737,2.0865
0.09,0.1,47.7,47.6,-37.194,-60.634,-40.013,-40.7526,0.51,4.175,0.9295478969,23.439999999999998,0.7396000000000029,0.6134182243199892,0.9818514887848011,1488.243522,2.12925
0.095,0.1,47.7,47.6,-36.726,-60.533,-39.55,-40.749,0.52,4.178,0.928596713,23.807000000000002,1.1990000000000052,0.6067103993971948,0.9705759888727572,1452.5132999999998,2.17256
0.1,0.1,47.7,47.6,-36.282,-60.434,-39.11,-40.746,0.53,4.181,0.9276911276,24.152,1.6360000000000028,0.6003574246344346,0.9598488430729112,1418.9890199999998,2.21593
0.105,0.1,47.7,47.6,-35.86,-60.335,-38.692,-40.744,0.55,4.183,0.926806575,24.475,2.0519999999999996,0.5943482322755984,0.9496367796396225,1387.49512,2.30065
0.11,0.1,47.7,47.6,-35.457,-60.237,-38.292,-40.741,0.56,4.186,0.9259636478,24.78,2.448999999999998,0.588624941292311,0.9398885874153454,1357.719444,2.34416
0.115,0.1,47.7,47.6,-35.072,-60.141,-37.91,-40.738,0.57,4.189,0.9251384859,25.068999999999996,2.828000000000003,0.583162910213713,0.93058080736857,1329.57952,2.38773
0.12,0.1,47.7,47.6,-34.703,-60.046,-37.544,-40.735,0.58,4.192,0.9243287876,25.342999999999996,3.1910000000000025,0.577940255436503,0.9216644389754372,1302.889432,2.4313599999999997
0.125,0.1,47.7,47.6,-34.3499,-59.952,-37.183,-40.732,0.6,4.195,0.9238065783,25.6021,3.5489999999999995,0.5729567082492112,0.9128695107745632,1277.2323317,2.517
0.13,0.1,47.7,47.6,-34.01,-59.859,-36.856,-40.729,0.61,4.198,0.9227805513,25.849000000000004,3.8729999999999976,0.5681685388691514,0.904908072992415,1253.47256,2.5607800000000003
0.135,0.1,47.7,47.6,-33.683,-59.767,-36.531,-40.726,0.62,4.201,0.9220388163,26.084000000000003,4.195,0.5635718801942857,0.8969945709619056,1230.473673,2.6046199999999997
0.14,0.1,47.7,47.6,-33.367,-59.676,-36.218,-40.723,0.63,4.205,0.9212822354,26.309000000000005,4.5049999999999955,0.5591360104419868,0.8893745767594377,1208.486006,2.64915
0.145,0.1,47.7,47.6,-33.063,-59.586,-35.916,-40.72,0.65,4.209,0.9205646509,26.522999999999996,4.804000000000002,0.5548786720853669,0.8820235972992041,1187.490708,2.7358499999999997
0.15,0.1,47.7,47.6,-32.769,-59.497,-35.624,-40.717,0.66,4.212,0.9198573995,26.728,5.092999999999996,0.5507672748334752,0.8749171322768655,1167.362856,2.77992
0.155,0.1,47.7,47.6,-32.4853,-59.4099,-35.341,-40.714,0.67,4.216,0.9191958349,26.924599999999998,5.3729999999999976,0.5467994483545578,0.868030674166888,1148.0629873,2.82472
0.16,0.1,47.7,47.6,-32.21,-59.3229,-35.067,-40.711,0.68,4.22,0.9185273904,27.112899999999996,5.643999999999998,0.5429606533557978,0.8613642716063047,1129.50807,2.8696
0.165,0.1,47.7,47.6,-31.94,-59.236,-34.802,-40.708,0.7,4.223,0.9177633469,27.295999999999996,5.905999999999999,0.5391991447633052,0.8549179732464864,1111.57588,2.9560999999999997
0.17,0.1,47.7,47.6,-31.684,-59.151,-34.544,-40.705,0.71,4.227,0.9172070403,27.467000000000002,6.161000000000001,0.5356460674484973,0.8486426937389188,1094.492096,3.00117
0.175,0.1,47.7,47.6,-31.432,-59.067,-34.294,-40.702,0.72,4.232,0.9165451683,27.635,6.408000000000001,0.5321414754793958,0.8425630397170418,1077.9290079999998,3.04704
0.18,0.1,47.7,47.6,-31.1884,-58.984,-34.051,-40.699,0.74,4.236,0.9159319844,27.7956,6.647999999999996,0.5287603507520743,0.8366544838117518,1061.9962084000001,3.1346399999999996
0.185,0.1,47.7,47.6,-30.95,-58.902,-33.815,-40.696,0.75,4.24,0.9152742866,27.952,6.881,0.5254490598867451,0.8309170638617324,1046.57425,3.18
0.19,0.1,47.7,47.6,-30.719,-58.82,-33.585,-40.693,0.76,4.245,0.9146642847,28.101,7.107999999999997,0.5222543441389722,0.8253262434651228,1031.697615,3.2262
0.195,0.1,47.7,47.6,-30.493,-58.739,-33.3607,-40.69,0.78,4.249,0.9140395735,28.246,7.329299999999996,0.519126994315991,0.8198746822284267,1017.2678251,3.3142199999999997
0.2,0.1,47.7,47.6,-30.274,-58.659,-33.142,-40.687,0.79,4.254,0.9134632792,28.384999999999998,7.544999999999995,0.5161015447945165,0.8145599531683327,1003.3409080000001,3.3606599999999998
0.205,0.1,47.7,47.6,-30.059,-58.58,-32.926,-40.684,0.8,4.258,0.9129259552,28.520999999999997,7.757999999999996,0.5131273559769095,0.8093108054594143,989.7226340000001,3.4064
0.21,0.1,47.7,47.6,-29.851,-58.502,-32.72,-40.681,0.81,4.263,0.9123166259,28.651000000000003,7.9609999999999985,0.510256068343921,0.804306698564605,976.7247199999999,3.45303
0.215,0.1,47.7,47.6,-29.646,-58.425,-32.517,-40.678,0.83,4.268,0.9117077221,28.778999999999996,8.160999999999994,0.5074197776195084,0.7993756035049807,963.9989820000001,3.5424399999999996
0.22,0.1,47.7,47.6,-29.447,-58.3484,-32.318,-40.675,0.84,4.273,0.9111640572,28.9014,8.357,0.5046753724982239,0.7945421215621911,951.6681459999999,3.5893199999999994
0.225,0.1,47.7,47.6,-29.251,-58.272,-32.124,-40.672,0.86,4.278,0.9105653094,29.020999999999997,8.547999999999995,0.5019735121837848,0.7898308612763293,939.6591240000001,3.6790799999999995
0.23,0.1,47.7,47.6,-29.0611,-58.197,-31.934,-40.669,0.87,4.283,0.9100363249,29.135900000000003,8.734999999999996,0.49935736377059575,0.7852172609411902,928.0371674,3.7262100000000005
0.235,0.1,47.7,47.6,-28.874,-58.129,-31.748,-40.666,0.88,4.288,0.9094746126,29.255,8.917999999999996,0.4967228147176592,0.7807013421703964,916.691752,3.7734400000000003
0.24,0.1,47.7,47.6,-28.691,-58.049,-31.566,-40.663,0.9,4.293,0.9089209909,29.358,9.096999999999998,0.4942548621725587,0.7762831265839492,905.6601059999999,3.8637
0.245,0.1,47.7,47.6,-28.5126,-57.976,-31.387,-40.659,0.91,4.298,0.9084206837,29.4634,9.271999999999998,0.4918000636780748,0.771957027274577,894.9249762,3.9111800000000003
0.25,0.1,47.7,47.6,-28.337,-57.903,-31.213,-40.656,0.92,4.304,0.9078589049,29.566,9.442999999999998,0.48938743224681674,0.7677341786632768,884.482781,3.9596800000000005
0.005,0.2,47.7,47.5,-61.0418,-57.6986,-61.2734,-35.2745,0.61,4.345,0.9962202195,-3.343200000000003,-25.9989,1.0579424987424737,1.7370452235196874,3740.23862812,2.6504499999999998
0.01,0.2,47.7,47.5,-55.7724,-57.639,-57.1506,-35.2732,0.63,4.345,0.9758847676,1.8666000000000054,-21.877399999999994,0.9676156936729591,1.6202273006199406,3187.4261234399996,2.7373499999999997
0.015,0.2,47.7,47.5,-52.5157,-57.5799,-54.3488,-35.2719,0.64,4.346,0.9662715644,5.0642,-19.076899999999995,0.9120491857757513,1.5408526770843836,2854.16527616,2.78144
0.02,0.2,47.7,47.5,-50.1524,-57.5212,-52.2289,-35.2707,0.65,4.346,0.960242318,7.3688,-16.958200000000005,0.8718942037352176,1.4808013870096537,2619.4046843600004,2.8249
0.025,0.2,47.7,47.5,-48.2965,-57.463,-50.5244,-35.2694,0.66,4.346,0.9559044739,9.1665,-15.255000000000003,0.8404799756448493,1.4325279543323095,2440.1516846,2.86836
0.03,0.2,47.7,47.5,-46.7681,-57.4052,-49.0992,-35.2681,0.67,4.347,0.952522648,10.637100000000004,-13.831100000000006,0.8147014698093807,1.3921703009850348,2296.27629552,2.9124900000000005
0.035,0.2,47.7,47.5,-45.4688,-57.3479,-47.8748,-35.2668,0.68,4.347,0.9497439154,11.879100000000001,-12.607999999999997,0.7928590374339607,1.3575034127707477,2176.80970624,2.9559600000000006
0.04,0.2,47.7,47.5,-44.3387,-57.291,-46.8015,-35.2655,0.69,4.348,0.947377755,12.952299999999994,-11.535999999999994,0.7739208736786035,1.3271186096076506,2075.11766805,3.0001199999999995
0.045,0.2,47.7,47.5,-43.3389,-57.2346,-45.8462,-35.2642,0.7,4.349,0.9453106255,13.895699999999998,-10.582,0.7572150544812938,1.3000777360631386,1986.9238771800003,3.0443
0.05,0.2,47.7,47.5,-42.4423,-57.1785,-44.9856,-35.263,0.71,4.35,0.9434641307,14.736199999999997,-9.7226,0.7422772675442215,1.275716793117908,1909.29233088,3.0885
0.055,0.2,47.7,47.5,-41.6296,-57.1229,-44.2024,-35.2617,0.72,4.351,0.9417950157,15.493299999999998,-8.9407,0.7287725365619137,1.2535527570580192,1840.12823104,3.13272
0.06,0.2,47.7,47.5,-40.8865,-57.0678,-43.484,-35.2604,0.73,4.353,0.940265385,16.1813,-8.223600000000005,0.7164548259518472,1.2332248424074839,1777.908566,3.1776899999999997
0.065,0.2,47.7,47.5,-40.202,-57.013,-42.8205,-35.2591,0.74,4.354,0.9388493829,16.811,-7.561400000000006,0.7051374371658645,1.2144524736721152,1721.469741,3.22196
0.07,0.2,47.7,47.5,-39.5675,-56.9587,-42.204,-35.2577,0.76,4.355,0.937529618,17.391199999999998,-6.946300000000001,0.6946700099312311,1.1970151540518852,1669.90677,3.3098000000000005
0.075,0.2,47.7,47.5,-38.9761,-56.9048,-41.6284,-35.2564,0.77,4.356,0.9362862853,17.9287,-6.372,0.6849352020380566,1.1807331769759015,1622.5126812400001,3.35412
0.08,0.2,47.7,47.5,-38.4225,-56.8512,-41.0885,-35.2551,0.78,4.357,0.935115665,18.4287,-5.833400000000005,0.6758432658561871,1.1654626186129842,1578.7228912500002,3.3984600000000005
0.085,0.2,47.7,47.5,-37.902,-56.7981,-40.5802,-35.2538,0.79,4.359,0.9340022967,18.896099999999997,-5.3264,0.6673110661679011,1.1510872913299357,1538.0707404,3.44361
0.09,0.2,47.7,47.5,-37.4109,-56.7454,-40.1,-35.2525,0.8,4.36,0.9329401496,19.3345,-4.847500000000004,0.6592763582471242,1.13750801042502,1500.17709,3.4880000000000004
0.095,0.2,47.7,47.5,-36.9461,-56.6931,-39.6449,-35.2511,0.81,4.362,0.9319256701,19.747,-4.393799999999999,0.6516860191396487,1.1246429508481421,1464.72443989,3.5332200000000005
0.1,0.2,47.7,47.5,-36.5049,-56.6412,-39.2125,-35.2498,0.82,4.363,0.9309505897,20.1363,-3.962699999999998,0.6444937721039415,1.1124176906654133,1431.44839125,3.5776600000000003
0.105,0.2,47.7,47.5,-36.085,-56.5896,-38.8005,-35.2485,0.83,4.365,0.9300137885,20.504599999999996,-3.5519999999999996,0.63766134833364,1.100770276771218,1400.1160425,3.62295
0.11,0.2,47.7,47.5,-35.6844,-56.5385,-38.4072,-35.2471,0.85,4.366,0.9291070424,20.854100000000003,-3.1601,0.6311522348691994,1.0896556337870529,1370.53788768,3.7110999999999996
0.115,0.2,47.7,47.5,-35.301,-56.4877,-38.031,-35.2458,0.86,4.368,0.928216455,21.186699999999995,-2.785199999999996,0.6249325184939822,1.079022211980497,1342.532331,3.7564800000000003
0.12,0.2,47.7,47.5,-34.9348,-56.4373,-37.6703,-35.2444,0.87,4.369,0.9273831108,21.502499999999998,-2.4258999999999986,0.6190019830679707,1.0688308233032997,1316.00439644,3.80103
0.125,0.2,47.7,47.5,-34.5829,-56.3873,-37.324,-35.2431,0.88,4.371,0.9265593184,21.8044,-2.0808999999999997,0.6133101002053671,1.0590442117476673,1290.7721596000001,3.8464800000000006
0.13,0.2,47.7,47.5,-34.2447,-56.3377,-36.9909,-35.2417,0.89,4.372,0.9257601194,22.092999999999996,-1.7492000000000019,0.607846976497922,1.049634411780204,1266.7422732300001,3.89108
0.135,0.2,47.7,47.5,-33.9192,-56.2885,-36.6702,-35.2404,0.9,4.374,0.9249799565,22.369300000000003,-1.4298000000000002,0.6025955675243712,1.040572781255967,1243.8238478399999,3.9366
0.14,0.2,47.7,47.5,-33.6054,-56.2396,-36.3609,-35.239,0.92,4.376,0.9242180474,22.6342,-1.1219000000000037,0.5975398224300995,1.0318369145502686,1221.9225888600001,4.02592
0.145,0.2,47.7,47.5,-33.3025,-56.191,-36.0622,-35.2376,0.93,4.379,0.9234738868,22.8885,-0.8245999999999967,0.5926660958635029,1.0234011687345665,1200.9614155,4.07247
0.15,0.2,47.7,47.5,-33.0098,-56.1429,-35.7734,-35.2362,0.94,4.381,0.9227470691,23.1331,-0.5372000000000057,0.587960375897226,1.0152457136480584,1180.87277932,4.11814
0.155,0.2,47.7,47.5,-32.7267,-56.0951,-35.4939,-35.2349,0.95,4.384,0.9220373078,23.3684,-0.25899999999999324,0.5834146045450423,1.0073506951162252,1161.59821713,4.1648000000000005
0.16,0.2,47.7,47.5,-32.4524,-56.0476,-35.2231,-35.2335,0.96,4.386,0.9213385534,23.595200000000006,0.010399999999997078,0.5790149904548095,0.9997048547463311,1143.07413044,4.21056
0.165,0.2,47.7,47.5,-32.1966,-56.0006,-34.9604,-35.2321,0.97,4.388,0.9209448404,23.804000000000002,0.2717000000000027,0.5749331359830633,0.9922883107248306,1125.6060146399998,4.25636
0.17,0.2,47.7,47.5,-31.9286,-55.9538,-34.7055,-35.2307,0.99,4.391,0.9199867456,24.0252,0.5251999999999981,0.5706243467043229,0.9850925750862904,1108.0980273,4.34709
0.175,0.2,47.7,47.5,-31.6781,-55.9074,-34.4578,-35.2293,1.0,4.393,0.9193303113,24.229300000000002,0.7715000000000032,0.566617309454872,0.978100642876828,1091.55763418,4.393
0.18,0.2,47.7,47.5,-31.4346,-55.8614,-34.217,-35.2279,1.01,4.396,0.9186836952,24.426800000000004,1.0108999999999995,0.5627248970259409,0.9713040224170053,1075.5977082,4.43996
0.185,0.2,47.7,47.5,-31.1977,-55.8157,-33.9827,-35.2265,1.02,4.398,0.9180465354,24.618,1.2438000000000002,0.5589413114758269,0.9646913819054229,1060.18207979,4.4859599999999995
0.19,0.2,47.7,47.5,-30.9671,-55.7704,-33.7545,-35.2251,1.03,4.401,0.9174213809,24.803300000000004,1.4705999999999975,0.5552605065637058,0.95825138773918,1045.27897695,4.53303
0.195,0.2,47.7,47.5,-30.7424,-55.7253,-33.5322,-35.2237,1.05,4.404,0.9168023571,24.982899999999997,1.6914999999999978,0.5516776141479295,0.9519783825088898,1030.8603052800001,4.6242
0.2,0.2,47.7,47.5,-30.5234,-55.6807,-33.2154,-35.2222,1.06,4.406,0.9189532566,25.157300000000003,2.0067999999999984,0.5481863652609676,0.9430245965051756,1013.8469403600001,4.67036
0.205,0.2,47.7,47.5,-30.3098,-55.6363,-33.1039,-35.2208,1.07,4.409,0.9155960476,25.3265,2.116899999999994,0.5447846198396482,0.9398963379564446,1003.37258822,4.71763
0.21,0.2,47.7,47.5,-30.1013,-55.5923,-32.8974,-35.2194,1.08,4.411,0.9150054412,25.491000000000003,2.3220000000000027,0.5414652846071359,0.9340704536156337,990.2545066199999,4.7638799999999994
0.215,0.2,47.7,47.5,-29.8977,-55.5486,-32.6957,-35.2171,1.09,4.414,0.9144229975,25.6509,2.5214,0.5382259955827149,0.9284041255073281,977.5262298900001,4.81126
0.22,0.2,47.7,47.5,-29.6987,-55.5053,-32.4984,-35.2165,1.11,4.417,0.9138511434,25.8066,2.718100000000007,0.535060625472894,0.9228174555341231,965.1602320799999,4.90287
0.225,0.2,47.7,47.5,-29.5042,-55.4623,-32.3057,-35.215,1.12,4.421,0.9132815571,25.958099999999998,2.9093000000000018,0.5319685720204278,0.9173846632794167,953.15383394,4.95152
0.23,0.2,47.7,47.5,-29.3139,-55.4195,-32.1171,-35.2136,1.13,4.424,0.9127193925,26.1056,3.096499999999999,0.528945597288781,0.9120652507004466,941.47745769,4.99912
0.235,0.2,47.7,47.5,-29.1277,-55.3772,-31.9325,-35.2121,1.14,4.427,0.9121647225,26.2495,3.2795999999999985,0.5259872388995334,0.9068615875469395,930.1202802500001,5.046779999999999
0.24,0.2,47.7,47.5,-28.9454,-55.3351,-31.7518,-35.2107,1.16,4.431,0.9116144597,26.389699999999998,3.4589000000000034,0.5230929468473527,0.9017656820729403,919.06855172,5.139959999999999
0.245,0.2,47.7,47.5,-28.7668,-55.2934,-31.5747,-35.2092,1.17,4.434,0.9110712057,26.5266,3.6345000000000027,0.5202573999836761,0.8967741640472989,908.30307996,5.18778
0.25,0.2,47.7,47.5,-28.5918,-55.2519,-31.4011,-35.2077,1.18,4.438,0.9105349813,26.6601,3.806600000000003,0.517480856178355,0.8918816307762685,897.8139709799999,5.236839999999999
